120,181,185,183,187,185,121,4,46,35,21,164,165,163,158,137
115,176,181,180,183,162,13,80,171,157,10,142,165,160,154,150
125,177,183,183,184,103,3,158,177,174,31,133,168,164,160,155
126,177,183,183,184,57,28,176,178,175,17,144,170,167,163,156
126,178,184,183,185,30,54,178,179,113,3,157,173,169,164,159
124,176,182,182,182,25,22,109,115,12,42,174,170,168,164,158
120,174,178,178,178,101,1,0,3,2,115,172,168,164,158,152
118,170,174,174,174,169,136,120,128,15,165,170,164,161,157,151
118,169,172,171,171,168,172,173,107,54,172,169,164,160,156,150
117,167,171,169,170,168,171,172,60,104,171,169,164,161,157,151
118,168,171,170,170,169,172,169,15,140,174,170,167,164,160,153
116,166,168,167,169,167,171,139,2,159,172,168,164,162,159,152
113,160,163,163,167,167,168,114,10,166,168,166,162,158,154,147
62,150,155,156,159,159,162,108,19,162,162,160,156,153,142,125
91,140,143,146,151,151,156,123,20,156,155,152,150,146,140,131
93,130,135,140,144,144,147,141,102,143,145,146,141,138,131,123
